Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,4.7uF,
"C10, C4, C6, C8",0805,4,10uF,
C2,0805,1,1uF,
"C3, C5, C7, C9",0805,4,100nF,
"D1, D2, D3, D4, D5, D6, D7, D8",0805,8,LED,
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,
"J2, J4",PinSocket_1x04_P2.54mm_Vertical,2,Conn_01x04,
J3,PinSocket_2x05_P2.54mm_Vertical,1,Conn_02x05_Odd_Even,
"R1, R2",0805,2,5.1k,
"R10, R11, R12, R13, R6, R7, R8, R9",0805,8,1k,
R3,0805,1,10k,
"R4, R5",0805,2,4.7k,
SW1,SW_Slide_SPDT_Straight_CK_OS102011MS2Q,1,SW_SPDT,
U1,SOT-23-6,1,USBLC6-2SC6,
U2,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,1,CP2112,
U3,SOT-23-5,1,TLV75718PDBV,
