Designator,Mid X,Mid Y,Rotation,Layer
C1,50.0,-35.9,90.0,top
C10,62.0,-45.500001,0.0,top
C2,56.1,-40.5,0.0,top
C3,56.1,-42.5,0.0,top
C4,56.1,-44.5,0.0,top
C5,56.1,-46.5,0.0,top
C6,56.1,-48.5,0.0,top
C7,62.0,-59.500001,0.0,top
C8,62.0,-56.5,0.0,top
C9,62.0,-48.5,0.0,top
D1,34.3,-60.5,90.0,top
D2,37.3,-60.5,90.0,top
D3,40.3,-60.5,90.0,top
D4,43.3,-60.5,90.0,top
D5,73.0,-41.5,180.0,top
D6,73.0,-39.2,180.0,top
D7,73.0,-36.9,180.0,top
D8,73.0,-34.6,180.0,top
H1,70.0,-29.5,0.0,top
H2,70.0,-57.5,0.0,top
H3,30.0,-57.5,0.0,top
H4,30.0,-30.5,0.0,top
J1,50.0,-58.5,0.0,top
J2,39.81,-28.5,90.0,top
J3,31.27,-41.62,180.0,top
J4,51.81,-28.5,90.0,top
R1,54.0,-51.5,0.0,top
R10,69.0,-41.5,0.0,top
R11,69.0,-39.2,0.0,top
R12,69.0,-36.9,0.0,top
R13,69.0,-34.6,0.0,top
R2,46.0,-51.5,180.0,top
R3,56.1,-38.5,180.0,top
R4,47.0,-45.9,45.0,top
R5,45.0,-43.9,45.0,top
R6,34.3,-56.5,270.0,top
R7,37.3,-56.5,270.0,top
R8,40.3,-56.5,270.0,top
R9,43.3,-56.5,270.0,top
SW1,71.0,-48.499998,270.0,top
U1,50.0,-50.5,270.0,top
U2,50.0,-40.9,180.0,top
U3,62.0,-52.5,270.0,top
